response_id,session_id,timestamp,age_group,gender,prefecture,driving_experience,ev_experience,sound_sensitivity,best_sound,worst_sound,sd_Prius_volume,sd_Prius_texture,sd_Prius_pleasantness,sd_Prius_arousal,sd_Prius_luxury,sd_Prius_innovation,sd_Prius_power,sd_Prius_safety,sd_Prius_naturalness,purchase_intent_Prius,wtp_Prius,sd_Fit_volume,sd_Fit_texture,sd_Fit_pleasantness,sd_Fit_arousal,sd_Fit_luxury,sd_Fit_innovation,sd_Fit_power,sd_Fit_safety,sd_Fit_naturalness,purchase_intent_Fit,wtp_Fit,sd_Model3_volume,sd_Model3_texture,sd_Model3_pleasantness,sd_Model3_arousal,sd_Model3_luxury,sd_Model3_innovation,sd_Model3_power,sd_Model3_safety,sd_Model3_naturalness,purchase_intent_Model3,wtp_Model3,sound_importance
16,7029a62c-ce69-48f7-bcc3-1a9f18f41929,2026-01-12T19:23:37.409704,20-29歳,女性,長崎県,1-5年,乗ったことはない,7,Fit,Prius,2,1,-1,1,1,0,0,1,-1,4,1万円まで,1,2,2,2,0,0,0,0,3,4,1万円まで,1,0,1,3,2,3,-1,0,-1,3,5万円まで,5
17,4c0cfc38-b66a-4f82-a4a4-a09bbb064143,2026-01-12T03:35:37.409738,20-29歳,男性,奈良県,20年以上,所有している,5,Model3,Fit,3,0,1,0,0,-1,1,0,0,5,5万円まで,1,2,0,1,-1,-2,-1,1,3,5,10万円まで,2,2,0,3,-1,1,1,0,-1,4,10万円まで,5
18,99811c74-6d04-4061-b18f-551e0beeda59,2026-01-06T01:19:37.409773,40-49歳,女性,栃木県,20年以上,試乗したことがある,8,Prius,Fit,2,1,2,-1,0,1,-1,3,2,5,5万円まで,-2,3,1,1,2,0,0,0,2,3,1万円まで,0,0,1,2,2,3,2,-1,-1,4,10万円まで,8
19,9fd8329e-f530-4fae-b91f-e434361517d0,2026-01-11T16:09:37.409807,40-49歳,女性,徳島県,1-5年,乗ったことはない,5,Fit,Model3,2,2,2,-1,-1,2,1,0,-2,3,1万円まで,2,-1,1,2,1,0,0,2,2,4,3万円まで,0,0,-1,3,-1,2,3,-1,0,5,10万円まで,7
20,ce34f6f6-9072-4e2f-8f21-5dd24599dcea,2026-01-11T00:33:37.409843,40-49歳,男性,富山県,20年以上,所有している,3,Prius,Model3,2,1,0,2,0,2,-2,2,2,6,5万円まで,1,0,0,-1,1,-1,0,0,0,3,3万円まで,-1,2,1,1,0,-1,0,-1,-3,4,5万円まで,8
21,454ef888-496d-4e29-a02c-6e664bc71f94,2026-01-11T12:03:37.409881,30-39歳,男性,京都府,5-10年,試乗したことがある,8,Model3,Fit,3,0,0,-1,3,0,1,1,1,4,1万円まで,0,1,1,0,0,1,0,-1,2,2,1万円まで,0,1,1,2,1,3,2,1,0,3,1万円まで,5
22,514cd6f3-d723-435d-a950-23d5426223e3,2026-01-09T03:28:37.409918,40-49歳,男性,茨城県,1年未満,試乗したことがある,7,Prius,Model3,0,0,1,1,3,3,1,2,0,5,5万円まで,1,1,1,2,2,-1,-1,0,3,3,1万円まで,1,-2,0,3,1,3,2,0,-2,4,10万円まで,6
23,58a4fe4f-06ec-455d-b4b4-cc5fb41f8c1e,2026-01-10T16:15:37.409955,20-29歳,その他,石川県,1-5年,所有している,8,Model3,Fit,0,1,3,2,2,1,-2,1,0,4,3万円まで,0,1,2,0,-2,1,0,-1,2,4,10万円まで,1,3,1,0,3,2,0,3,1,4,5万円まで,9
24,5284d793-75e7-4dda-8991-07182e634328,2026-01-10T19:14:37.409989,40-49歳,男性,石川県,10-20年,所有している,6,Prius,Fit,1,-2,1,1,2,2,-1,1,2,5,1万円まで,-1,1,-2,1,0,1,1,0,-1,4,1万円まで,0,1,0,1,0,3,1,0,0,3,0円（追加では支払いたくない）,7
25,db397101-8f28-4800-b8e4-bce255d819b5,2026-01-08T21:47:37.410023,30-39歳,女性,栃木県,10-20年,所有している,6,Model3,Fit,3,1,0,-2,1,0,-1,1,2,6,30万円以上,-1,-1,0,-2,-1,2,1,-2,2,3,3万円まで,0,0,3,3,0,2,3,-1,-2,5,10万円まで,9
26,c47483ac-7f04-498f-ad6d-cb4a3d62a233,2026-01-10T20:00:37.410060,40-49歳,男性,長野県,20年以上,乗ったことはない,6,Model3,Fit,2,1,0,-2,2,-1,-3,1,0,4,10万円まで,-1,1,0,-2,1,-1,1,-1,0,2,1万円まで,0,2,2,2,0,1,2,-2,-2,2,3万円まで,7
27,c82ba2cb-af82-418c-aac8-6dbb3d63c435,2026-01-07T23:52:37.410094,30-39歳,男性,和歌山県,10-20年,試乗したことがある,8,Prius,Fit,1,0,1,0,1,-1,1,3,0,2,1万円まで,-2,2,1,-1,-1,1,0,0,1,4,3万円まで,-2,1,2,1,1,3,0,-1,-1,4,10万円まで,8
28,71a43175-9184-4a53-b3b4-ff0c827ea4ff,2026-01-07T10:16:37.410128,40-49歳,女性,徳島県,10-20年,所有している,4,Prius,Fit,1,0,2,-1,1,0,0,3,1,5,3万円まで,-2,1,-1,2,1,-1,-2,0,1,4,3万円まで,2,2,1,3,1,0,0,0,-2,4,1万円まで,8
29,26ed0b71-64aa-4eeb-b996-7da1e2f16a63,2026-01-08T20:29:37.410162,50-59歳,女性,栃木県,1-5年,試乗したことがある,7,Prius,Fit,-1,3,2,-1,3,0,0,1,1,5,5万円まで,-1,0,2,-1,-1,1,-1,0,1,3,3万円まで,-1,2,2,2,1,-1,-2,1,1,3,5万円まで,6
30,6f39a91d-1842-4478-baeb-0da65eff49e0,2026-01-05T19:46:37.410198,30-39歳,女性,岐阜県,10-20年,所有している,4,Model3,Fit,1,0,1,-1,0,0,-1,1,1,4,0円（追加では支払いたくない）,-1,1,1,0,0,0,-1,1,1,5,10万円まで,0,1,-1,1,2,3,3,1,0,6,10万円まで,6
31,024c3d94-80d2-4ef1-9f42-668e9cbc7784,2026-01-12T02:41:37.410235,50-59歳,女性,宮崎県,10-20年,乗ったことはない,3,Model3,Fit,0,0,0,0,3,2,-2,0,-1,5,10万円まで,0,-1,1,0,-2,-2,1,1,2,3,0円（追加では支払いたくない）,1,-1,0,1,1,2,0,0,0,5,5万円まで,6
32,442f9f87-ea2c-430f-82a7-1690d0453ede,2026-01-09T01:54:37.410277,30-39歳,男性,石川県,20年以上,試乗したことがある,8,Model3,Fit,1,0,2,-2,2,2,2,1,0,5,20万円まで,1,2,1,1,1,-1,-1,1,1,6,30万円以上,2,2,2,2,0,3,1,-1,-2,3,3万円まで,8
33,fd5e9c64-4a36-4609-94e5-d6c3477a3689,2026-01-10T00:33:37.410311,20-29歳,男性,群馬県,10-20年,所有している,3,Prius,Fit,0,3,0,0,1,1,1,2,0,4,3万円まで,-1,1,0,0,-1,0,-1,0,0,3,1万円まで,0,1,1,2,-2,2,2,3,-2,4,10万円まで,8
34,886c2652-b4d2-447c-ba2a-0be2224e4360,2026-01-12T07:04:37.410346,30-39歳,女性,佐賀県,1年未満,所有している,3,Prius,Fit,1,0,2,2,1,2,0,1,2,4,0円（追加では支払いたくない）,2,2,-1,-1,-3,-2,1,3,-1,4,3万円まで,0,-2,-1,1,1,3,2,0,-1,4,20万円まで,5
35,470a94a3-e7d5-4786-83fb-78f3a0a53efb,2026-01-06T09:40:37.410380,40-49歳,男性,香川県,10-20年,試乗したことがある,5,Prius,Model3,3,0,-2,-2,1,3,-1,3,1,4,5万円まで,1,1,1,1,0,1,0,-1,0,5,10万円まで,-3,0,2,0,3,0,3,1,-2,4,10万円まで,6
36,80d3c9f1-d987-446b-b71a-9928dd3d0935,2026-01-06T08:15:37.410413,40-49歳,男性,福井県,5-10年,乗ったことはない,8,Prius,Model3,1,0,3,-2,3,2,-2,2,0,4,5万円まで,2,1,1,-2,0,1,0,3,1,4,1万円まで,1,1,1,2,1,0,1,1,-1,4,3万円まで,6
37,0d7d6278-44ac-4d2f-a956-f055a4ad34a1,2026-01-08T23:16:37.410446,60-70歳,男性,石川県,20年以上,乗ったことはない,4,Model3,Prius,0,0,1,0,2,1,0,0,-2,2,3万円まで,0,0,2,2,2,-1,-1,1,0,3,1万円まで,1,2,1,3,0,1,0,2,0,4,0円（追加では支払いたくない）,6
38,bb13329c-d616-4b82-8831-af79f7aa9112,2026-01-10T09:04:37.410481,20-29歳,男性,大分県,10-20年,乗ったことはない,8,Model3,Fit,2,3,0,3,0,1,0,1,0,4,5万円まで,1,1,3,3,-2,-1,-2,2,3,5,10万円まで,1,0,2,2,1,3,2,2,-2,3,5万円まで,7
39,37875812-e4f5-4672-b2ab-3d198ed4a6c8,2026-01-09T07:19:37.410515,60-70歳,男性,栃木県,10-20年,試乗したことがある,5,Prius,Fit,1,2,1,0,3,2,0,0,-1,3,1万円まで,0,2,1,-1,-2,1,0,1,1,3,1万円まで,0,1,1,2,1,3,0,-1,0,3,5万円まで,8
40,2fba7761-e7e7-44ce-86aa-25eba2da1457,2026-01-11T07:03:37.410548,60-70歳,女性,福島県,5-10年,所有している,7,Model3,Fit,-1,0,0,3,3,0,1,0,0,6,5万円まで,0,2,-1,1,-1,0,1,1,2,6,10万円まで,1,2,-1,2,2,3,1,-1,2,4,5万円まで,9
41,5a8dc74c-2407-4eaa-80fa-a13afd585a21,2026-01-09T05:49:37.410588,20-29歳,女性,石川県,5-10年,試乗したことがある,6,Prius,Fit,3,1,3,1,3,0,1,1,0,5,5万円まで,-2,-1,3,1,-1,-1,1,-1,2,3,1万円まで,1,2,1,3,1,2,3,0,-3,4,5万円まで,6
42,76a8ddcd-5475-4e55-b6ab-040cecf17848,2026-01-09T14:08:37.410629,40-49歳,男性,徳島県,5-10年,乗ったことはない,6,Prius,Model3,2,3,3,1,1,0,-1,1,1,5,10万円まで,-2,0,1,1,1,0,1,1,2,4,5万円まで,-2,3,1,1,0,1,2,-1,-2,5,10万円まで,8
43,05e941bf-9a1e-4aa0-97e9-afe2b74a0cd5,2026-01-10T02:14:37.410663,40-49歳,男性,福井県,1-5年,所有している,4,Prius,Model3,1,0,2,-1,2,2,-3,2,3,5,20万円まで,-1,0,-2,0,0,1,-1,2,3,4,3万円まで,-2,-2,1,1,1,2,0,0,-3,3,1万円まで,5
44,c516ffcd-5dfd-4c5a-9ca1-3a91264ebfca,2026-01-06T04:54:37.410697,30-39歳,男性,長野県,1-5年,所有している,6,Prius,Fit,2,3,3,0,3,0,2,3,0,5,5万円まで,1,2,-2,0,-1,0,-1,-1,1,4,3万円まで,1,1,1,1,-1,1,2,3,-2,5,10万円まで,6
45,2db71387-068a-4487-9223-d6d88ed88bfd,2026-01-06T11:47:37.410730,40-49歳,男性,福島県,5-10年,試乗したことがある,4,Model3,Fit,1,1,2,-1,-1,1,0,1,0,3,0円（追加では支払いたくない）,-1,0,0,1,0,-3,-1,-1,1,2,0円（追加では支払いたくない）,1,0,2,3,-1,2,2,0,-1,4,5万円まで,8
46,466b790d-6896-42cc-bbf4-10da98aa89a5,2026-01-06T09:50:37.410763,50-59歳,男性,静岡県,5-10年,乗ったことはない,7,Model3,Fit,1,2,1,1,2,0,-1,0,0,4,5万円まで,2,2,0,1,-2,-2,-1,-1,3,4,10万円まで,2,1,1,3,-1,3,2,-2,-1,3,10万円まで,7
47,f6ed27d2-fc93-43d5-95f3-c88503ad7658,2026-01-08T21:57:37.410796,40-49歳,男性,熊本県,10-20年,試乗したことがある,7,Prius,Model3,2,2,2,1,2,3,-1,3,-1,4,3万円まで,1,3,1,2,-1,1,0,2,0,5,5万円まで,-1,0,2,2,1,0,0,-1,1,5,10万円まで,5
48,9e90bbb2-0c4c-4700-a913-a867b6d7bc4f,2026-01-12T05:52:37.410829,20-29歳,男性,岩手県,10-20年,試乗したことがある,5,Prius,Model3,1,2,0,0,0,2,1,2,1,3,0円（追加では支払いたくない）,1,1,1,0,1,-2,-1,2,1,5,5万円まで,-1,0,0,1,0,1,0,0,-2,5,5万円まで,6
49,038ae4e5-f269-49db-a2a4-f52020394b87,2026-01-11T07:55:37.410863,20-29歳,男性,長崎県,5-10年,乗ったことはない,3,Prius,Model3,-1,-1,2,0,3,0,1,-1,1,4,3万円まで,-1,0,1,-1,3,-1,1,-1,2,3,1万円まで,1,-1,-1,2,0,1,-2,-1,-3,3,1万円まで,5
50,b7b63d00-b206-4673-8a20-c93b18cb9cd9,2026-01-06T22:24:37.410897,30-39歳,男性,兵庫県,1-5年,所有している,7,Prius,Fit,2,3,1,0,1,2,-2,1,-2,4,1万円まで,1,-2,0,1,-1,-1,-1,2,3,4,3万円まで,0,-2,0,2,-1,3,3,1,0,4,10万円まで,7
51,cb61c8fa-bdf3-4574-b269-f92042aa0247,2026-01-11T17:59:37.410934,40-49歳,女性,山形県,5-10年,乗ったことはない,4,Model3,Fit,0,0,2,-2,1,0,0,3,2,3,1万円まで,-3,-1,0,2,0,-1,-2,0,1,3,0円（追加では支払いたくない）,0,0,2,2,1,2,1,3,-1,3,5万円まで,6
52,aaaec880-ce23-4e92-8c45-56e71e1218f9,2026-01-09T11:33:37.410971,60-70歳,女性,島根県,1-5年,乗ったことはない,6,Model3,Prius,2,2,0,-3,2,3,-1,1,-1,4,5万円まで,0,1,1,1,-2,2,1,0,3,5,5万円まで,2,3,0,2,0,0,3,1,-2,4,5万円まで,5
53,753124e3-4719-46c1-ab75-babdc8d75bce,2026-01-11T06:20:37.411008,50-59歳,女性,大阪府,10-20年,乗ったことはない,8,Model3,Prius,0,2,0,0,3,1,3,2,-3,4,5万円まで,2,2,3,2,-1,1,0,0,3,4,3万円まで,2,3,2,2,3,2,1,3,-2,3,1万円まで,5
54,94a4f945-f79f-4975-a13c-a78c273d5330,2026-01-12T13:18:37.411041,40-49歳,男性,東京都,1年未満,試乗したことがある,5,Prius,Model3,1,0,3,0,0,0,-1,0,1,4,10万円まで,-1,2,0,0,0,-2,-1,1,1,2,1万円まで,1,-2,0,2,-2,0,1,1,-2,5,3万円まで,5
55,3be37b35-58a4-404c-8556-0334f2116b9e,2026-01-05T08:42:37.411075,40-49歳,女性,大阪府,20年以上,乗ったことはない,7,Prius,Fit,2,1,2,0,2,2,-2,0,-1,4,3万円まで,0,2,1,-1,-1,-1,0,1,0,4,5万円まで,-1,0,-1,1,1,3,3,1,-1,4,1万円まで,5
56,d4de5cec-9dd1-4531-bdbd-bb1dfbc5ed1a,2026-01-08T07:58:37.411108,50-59歳,男性,埼玉県,10-20年,試乗したことがある,4,Prius,Fit,0,3,0,0,2,3,-1,3,1,5,5万円まで,-1,-1,0,1,0,-2,1,-1,0,4,3万円まで,0,-1,-1,2,1,3,2,1,-3,5,5万円まで,5
57,a121ee85-d2d7-4c3a-a1d4-678072f0a0e0,2026-01-12T14:18:37.411144,20-29歳,男性,山形県,1-5年,所有している,8,Model3,Fit,2,-1,1,-1,2,1,-1,1,-1,3,5万円まで,-2,2,0,3,-2,1,-1,0,1,3,5万円まで,1,1,-1,2,2,2,0,1,-3,4,10万円まで,8
58,97603b46-a447-46d0-93c7-6abb2c6db55a,2026-01-06T03:46:37.411176,40-49歳,男性,愛知県,20年以上,乗ったことはない,7,Model3,Fit,2,2,0,-2,0,1,-1,1,1,4,10万円まで,3,0,0,0,-3,1,2,0,0,4,5万円まで,2,-1,1,2,0,2,1,0,-2,3,1万円まで,6
59,cb0c71ac-37b2-4e68-b7b0-61ead1c92356,2026-01-12T12:56:37.411212,40-49歳,男性,山梨県,5-10年,試乗したことがある,5,Model3,Fit,2,1,2,-1,3,2,-2,1,-2,5,10万円まで,1,-1,1,-1,0,-1,0,1,-1,2,0円（追加では支払いたくない）,1,0,1,1,0,1,3,2,-2,5,20万円まで,5
60,20c8c0ea-b329-4c54-a2ad-e529c9967cd9,2026-01-08T04:22:37.411243,40-49歳,女性,秋田県,10-20年,試乗したことがある,3,Model3,Fit,0,-1,2,0,2,0,0,0,1,4,5万円まで,-1,2,2,-1,-1,-1,0,1,0,3,3万円まで,0,2,2,3,0,3,0,2,-1,4,5万円まで,7
61,bd81fe5a-8078-4b94-abce-f03bd4fa915e,2026-01-11T21:49:37.411279,50-59歳,男性,徳島県,20年以上,乗ったことはない,6,Model3,Fit,2,2,1,1,0,1,-2,1,0,4,3万円まで,0,0,1,0,1,1,2,0,1,4,1万円まで,-1,1,0,3,1,0,2,2,-1,3,1万円まで,8
62,b3aeeec3-e7c3-43f2-84c4-e3414d17185b,2026-01-07T18:23:37.411315,50-59歳,男性,岐阜県,5-10年,所有している,7,Model3,Fit,1,1,1,0,3,3,1,1,1,5,5万円まで,2,-1,1,-1,-1,1,-3,1,3,3,3万円まで,3,2,2,0,2,3,1,1,1,4,3万円まで,7
63,f06d99b1-7c30-4692-a1ff-5275fd33b565,2026-01-05T08:43:37.411348,60-70歳,女性,徳島県,1-5年,乗ったことはない,3,Prius,Fit,1,1,-2,0,1,1,1,3,1,5,5万円まで,1,-1,0,-1,-1,-2,1,1,2,3,1万円まで,0,2,0,-3,1,3,1,0,-1,4,3万円まで,5
64,568f4e53-a13f-4b6e-92a3-987f561e6ebf,2026-01-10T07:59:37.411381,60-70歳,女性,長野県,20年以上,所有している,7,Prius,Model3,2,1,0,0,3,1,1,2,1,4,3万円まで,-1,1,0,1,0,-1,2,1,1,5,10万円まで,1,0,-2,1,0,2,3,-1,-3,4,10万円まで,8
65,5d3111d0-7696-4a58-a366-e975f825f412,2026-01-08T02:17:37.411411,30-39歳,男性,徳島県,1年未満,試乗したことがある,7,Prius,Model3,2,1,2,-1,1,-1,0,3,0,5,5万円まで,3,2,0,0,-2,-2,0,1,1,4,5万円まで,1,2,-2,0,3,1,0,-1,-2,5,20万円まで,5
66,de880a7c-88e9-4609-96ed-003858469ce3,2026-01-10T01:22:37.411442,30-39歳,男性,北海道,5-10年,試乗したことがある,3,Prius,Fit,3,2,1,1,0,-1,-2,2,1,3,1万円まで,-2,0,-2,1,-2,-2,1,-1,2,4,5万円まで,1,-1,1,3,0,1,-1,1,-1,5,5万円まで,8
67,c1d3b898-e0a5-4eda-89e3-0c5c0515f125,2026-01-12T11:38:37.411473,50-59歳,男性,和歌山県,20年以上,乗ったことはない,5,Prius,Fit,3,-1,3,-1,0,2,0,0,2,4,3万円まで,-1,0,2,-2,0,-1,0,1,2,5,20万円まで,0,1,1,0,2,0,2,0,0,4,3万円まで,5
68,f2a4c3d6-69c3-41a5-8f88-3fd6bde607ac,2026-01-05T02:09:37.411505,60-70歳,男性,千葉県,10-20年,乗ったことはない,5,Prius,Model3,0,2,2,-1,1,2,0,1,1,4,5万円まで,1,0,-3,0,0,-1,0,1,1,3,1万円まで,-1,-1,-1,1,0,1,1,-1,-1,4,3万円まで,8
69,939c93ed-47d2-4453-b21a-8ff1b7142595,2026-01-04T22:11:37.411536,30-39歳,女性,大阪府,1-5年,試乗したことがある,5,Prius,Fit,0,1,1,-1,3,3,-1,1,1,3,3万円まで,1,1,0,-1,2,-3,0,2,3,5,10万円まで,1,1,2,0,3,0,3,-1,-3,4,5万円まで,7
70,c0ff9214-4ce2-47e1-bd42-61028819810a,2026-01-07T21:02:37.411567,20-29歳,女性,高知県,1-5年,所有している,7,Prius,Fit,3,1,1,2,2,0,1,1,0,5,5万円まで,2,-2,1,1,1,0,1,0,0,2,0円（追加では支払いたくない）,2,1,0,0,2,0,-1,2,-1,4,3万円まで,9
71,ebf78e9f-ad51-45a0-bb5d-351d73382f5c,2026-01-10T09:18:37.411600,40-49歳,女性,熊本県,20年以上,所有している,5,Model3,Fit,2,3,0,-1,-1,0,-3,1,2,5,10万円まで,0,-1,1,0,-1,1,0,1,1,3,10万円まで,3,2,1,3,0,3,2,1,-1,6,5万円まで,6
72,89bde497-7aa0-4726-9f41-e9dad5ae5f93,2026-01-06T16:29:37.411635,20-29歳,男性,福島県,20年以上,所有している,4,Model3,Fit,0,0,1,1,-3,1,-1,2,0,3,5万円まで,-2,1,0,2,0,-1,0,0,-1,3,3万円まで,2,-1,2,2,0,2,3,2,-1,5,20万円まで,5
73,038a5213-d61c-40ea-9c59-2b907f6c3fdc,2026-01-06T17:31:37.411734,40-49歳,女性,京都府,5-10年,乗ったことはない,8,Model3,Fit,3,1,0,-1,1,1,0,3,1,5,20万円まで,0,1,2,0,1,-2,2,0,3,4,5万円まで,1,2,0,2,3,3,3,2,0,6,5万円まで,9
74,4338f7fa-6cee-4cc0-997b-9577e6c5dbd3,2026-01-06T10:06:37.411768,60-70歳,男性,沖縄県,10-20年,乗ったことはない,8,Model3,Fit,1,1,3,-2,1,1,1,2,0,4,3万円まで,-1,1,1,0,-3,0,0,1,2,4,5万円まで,1,1,0,0,1,3,2,0,1,4,1万円まで,9
75,98c7e82e-6bae-4711-97a2-7581732fa255,2026-01-09T13:26:37.411801,50-59歳,男性,山口県,10-20年,試乗したことがある,7,Prius,Fit,1,0,3,-2,2,0,2,3,0,4,1万円まで,-2,1,0,0,-2,-1,0,-2,2,4,1万円まで,0,1,2,2,2,0,1,1,-1,4,5万円まで,5
76,07e9a470-6480-47c1-afba-f408faace1bc,2026-01-07T18:23:37.411832,30-39歳,男性,北海道,5-10年,所有している,3,Prius,Fit,0,0,0,2,-1,2,-1,3,1,4,3万円まで,-2,0,3,-2,1,-2,-2,1,0,4,5万円まで,2,0,-1,1,1,2,2,-1,-2,4,5万円まで,5
77,8a75fe07-3cce-4829-9547-bf1885dee003,2026-01-04T23:30:37.411865,30-39歳,女性,熊本県,5-10年,乗ったことはない,4,Fit,Prius,2,0,3,-2,2,1,0,0,0,5,5万円まで,2,2,-1,0,1,0,1,1,1,5,10万円まで,1,1,0,1,-1,2,2,1,0,3,3万円まで,8
78,ceb0957e-d5b8-47e0-9894-882daeefe0ef,2026-01-10T03:16:37.411896,60-70歳,女性,香川県,1年未満,乗ったことはない,6,Fit,Prius,3,0,1,-1,1,0,-3,3,0,4,3万円まで,2,1,1,0,-1,0,2,1,2,4,1万円まで,2,0,1,1,0,2,2,0,0,6,30万円以上,9
